Image,PSNR_Gaussian,PSNR_Median,PSNR_Bilateral
157_img_.png,28.975472476929845,29.945719299623196,29.25735042425351
158_img_.png,27.245603719441668,26.725917645737304,28.049219745454707
159_img_.png,29.27365425649348,30.544045465272465,29.287477094621547
15_img_.png,25.176478449175153,23.866606571121686,27.64415047256135
160_img_.png,29.545294681303886,31.124589202163413,29.691732808153017
161_img_.png,26.81443602545228,25.830904420993143,27.48396462859496
162_img_.png,27.49473133896295,27.016684512694916,27.964582187266977
163_img_.png,25.20072719068365,23.671248815780487,26.845155727108683
164_img_.png,28.387505907494557,28.642920196734714,28.862438125212428
165_img_.png,28.29200265713937,28.634632178644935,28.933693157069584
1660.png,30.39335808522467,34.913596545181264,30.812965631587836
166_img_.png,27.691268983704692,27.38122277888322,27.963312358207908
168_img_.png,30.26382474149013,35.17708153917052,30.92358487005182
169_img_.png,26.416076117723474,24.81363473452067,27.240242450798476
16_img_.png,29.610322824801727,30.992296556631356,29.519917238273194
170_img_.png,29.59106686661443,31.772407121703043,29.74591959195045
171_img_.png,30.134367754139255,32.966042510181424,30.34403117257817
172_img_.png,25.353436337110374,23.72539030821941,26.849774168118685
173_img_.png,29.080196596750664,30.723750415104988,29.99788535850427
1742.png,30.358178557199366,34.625783120696,30.75138934727677
174_img_.png,30.38525198685681,34.9872024282871,30.946849256662237
175_img_.png,30.576900609823507,35.80180796444415,31.091382359682566
176_img_.png,23.51218664940768,22.274351987752446,27.260967986496695
177_img_.png,27.551269706216296,27.567322213790963,28.760670034613973
178_img_.png,30.014069585021655,32.668257712226165,30.060331709245954
179_img_.png,28.97815442544792,29.52861369995165,28.651931879336004
17_img_.png,26.543279495690562,25.286861832474983,27.54593579083619
180_img_.png,28.889243495244322,29.59420991801686,28.86472621467351
182_img_.png,25.36851628321205,24.476623311560502,27.694005351529572
183_img_.png,29.427946690013872,30.831816819312508,29.441258694734174
184_img_.png,29.982087464675757,33.61654477157039,30.68838812685756
185_img_.png,27.43932613022924,26.66419901771968,27.34358973958993
186_img_.png,27.974517226673292,28.46725977514629,29.11818223260553
187_img_.png,29.308943147565692,30.482136614281,29.359076498140382
188_img_.png,27.432395893499354,26.559875704432365,27.657700568608877
189_img_.png,30.14440918435019,34.232707772185705,31.201120259315708
18_img_.png,29.964089921993384,32.77689208263231,30.175600305873743
190_img_.png,28.829267511739594,28.979109960856782,28.48246024730927
191_img_.png,28.862764618562068,29.452185407193234,29.017532430082007
